Unnamed: 0,incident_month,incident_week,incident_weekday,weekend,part_of_the_day,latitude,longitude,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,precip,humidity,visibility,cloudcover,heatindex,season,household,male_population,female_population,total_population,gender_ration,average_household_size,density_per_kmsq,literacy_rate,religious_institution,playground,park,police_station,cyber_cafe,school,college,cinema,crime,cluster
0,7,29,wednesday,0,morning,23.77456936,90.35529228,adabar,dhaka,dhaka,30,28,26,356,6.1,88,10,80,32,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
1,1,2,wednesday,0,night,23.77456936,90.35529228,adabar,dhaka,dhaka,27,23,16,113,0.0,54,10,6,22,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
2,1,4,tuesday,0,night,23.769808,90.351595,adabor,dhaka,dhaka,32,26,19,113,0.0,43,10,0,25,winter,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,-1
3,3,9,friday,1,night,23.728907,90.417137,aftabnagar,dhaka,dhaka,35,30,24,113,0.0,52,10,4,30,hot,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,0
4,8,34,thursday,0,night,23.847177,90.4041325,airport,dhaka,dhaka,34,32,28,359,21.9,71,9,39,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,1
5,8,34,thursday,0,night,23.847177,90.4041325,airport,dhaka,dhaka,34,32,28,359,21.9,71,9,39,38,rainy,2034146,4931802,3974237,8906039,125,8.42,30551,74.6,4289,99,17,60,478,242,64,40,murder,1
6,2,7,sunday,0,night,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,0.6,53,10,27,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
7,1,1,saturday,1,evening,23.913894,90.320686,ashulia,dhaka,dhaka,29,23,18,116,0.0,49,10,12,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
8,1,2,friday,1,evening,23.913894,90.320686,ashulia,dhaka,dhaka,26,22,15,113,0.0,40,10,0,21,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
9,2,7,sunday,0,night,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,0.6,53,10,27,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
10,11,46,monday,0,morning,23.913894,90.320686,ashulia,dhaka,dhaka,32,28,24,113,0.0,57,10,1,29,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
11,11,45,sunday,0,morning,23.913894,90.320686,ashulia,dhaka,dhaka,34,29,24,113,0.0,54,10,0,30,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
12,2,7,sunday,0,night,23.913894,90.320686,ashulia,dhaka,dhaka,27,24,18,386,0.6,53,10,27,23,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
13,2,7,saturday,1,morning,23.913894,90.320686,ashulia,dhaka,dhaka,28,24,21,116,0.0,52,10,18,25,winter,359084,738764,647146,1385910,114,3.77,4948,68.0,1118,78,3,6,16,42,10,3,murder,2
